host,id,threads,url,server_type,call_mode,regs,tsmin,tsmas,millis,ns_avg,ns_p90,ns_p95,ns_p99,stdev
MXULOMJ8,ms-test-20240402_203622-0,threads_1,localhost-8090,spring3_6_1_5,full,1000000,1712082984024,1712083137745,153721,143114,164532,173176,249796,150658
MXULOMJ8,ms-test-20240402_203920-0,threads_1,localhost-8090,spring3_6_1_5,local,1000000,1712083161232,1712083202211,40979,35319.5,37075,45707,68675,28189.5
MXULOMJ8,ms-test-20240402_204024-0,threads_1,localhost-8091,jersey3,full,1000000,1712083225372,1712083379133,153761,142908,161614,180823,269405,60906.1
MXULOMJ8,ms-test-20240402_204321-0,threads_1,localhost-8091,jersey3,local,1000000,1712083402403,1712083444912,42509,37154,40707,65238,69361,32883.1
MXULOMJ8,ms-test-20240402_204427-0,threads_1,localhost-8092,flask_2_0_3,full,1000000,1712083468857,1712084197834,728977,722141,727467,832368,904574,269791
MXULOMJ8,ms-test-20240402_205659-0,threads_1,localhost-8092,flask_2_0_3,local,1000000,1712084220638,1712084262678,42040,36568.4,38707,64799,70449,29963.2
MXULOMJ8,ms-test-20240402_205804-0,threads_1,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712084286926,1712084462405,175479,165748,188896,206087,276055,1.18255e+06
MXULOMJ8,ms-test-20240402_210124-0,threads_1,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712084485802,1712084524799,38997,34117.3,37041,62623,67013,40244
MXULOMJ8,ms-test-20240402_210226-0,threads_1,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712084548978,1712084704412,155434,146355,163016,180228,246542,1.00862e+06
MXULOMJ8,ms-test-20240402_210526-0,threads_1,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712084727269,1712084765932,38663,33831,36082,61944,66540,32648.6
MXULOMJ8,ms-test-20240402_210628-0,threads_2,localhost-8090,spring3_6_1_5,full,1000000,1712084789366,1712084865840,76474,136915,157191,167583,230317,231758
MXULOMJ8,ms-test-20240402_210808-0,threads_2,localhost-8090,spring3_6_1_5,local,1000000,1712084889583,1712084911431,21848,37260.9,40341,69474,75965,42985.2
MXULOMJ8,ms-test-20240402_210853-0,threads_2,localhost-8091,jersey3,full,1000000,1712084934734,1712085021436,86702,160110,188462,199248,238082,59408.3
MXULOMJ8,ms-test-20240402_211043-0,threads_2,localhost-8091,jersey3,local,1000000,1712085044912,1712085067947,23035,39537.7,42983,59677,79403,43623.6
MXULOMJ8,ms-test-20240402_211130-0,threads_2,localhost-8092,flask_2_0_3,full,1000000,1712085091018,1712085877905,786887,1.55685e+06,1692209,1925700,5738238,1.34802e+06
MXULOMJ8,ms-test-20240402_212500-0,threads_2,localhost-8092,flask_2_0_3,local,1000000,1712085901401,1712085924850,23449,40231.2,44995,70423,77553,40987.2
MXULOMJ8,ms-test-20240402_212547-0,threads_2,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712085948750,1712086035441,86691,162461,182728,196611,256333,194631
MXULOMJ8,ms-test-20240402_212737-0,threads_2,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712086058957,1712086081888,22931,39753.7,43923,72014,78467,46415.5
MXULOMJ8,ms-test-20240402_212824-0,threads_2,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712086105161,1712086181757,76596,142374,161986,172321,231667,61721.5
MXULOMJ8,ms-test-20240402_213004-0,threads_2,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712086205287,1712086228805,23518,40479.4,44619,72771,79945,44445.9
MXULOMJ8,ms-test-20240402_213051-0,threads_4,localhost-8090,spring3_6_1_5,full,1000000,1712086252472,1712086291426,38954,138788,157452,169329,230949,107822
MXULOMJ8,ms-test-20240402_213153-0,threads_4,localhost-8090,spring3_6_1_5,local,1000000,1712086314665,1712086326504,11839,40079.2,42221,70005,93524,68549.7
MXULOMJ8,ms-test-20240402_213228-0,threads_4,localhost-8091,jersey3,full,1000000,1712086349845,1712086396217,46372,172065,203385,215183,268474,85274.7
MXULOMJ8,ms-test-20240402_213338-0,threads_4,localhost-8091,jersey3,local,1000000,1712086419003,1712086430851,11848,39162.7,44151,68578,84087,67324.6
MXULOMJ8,ms-test-20240402_213413-0,threads_4,localhost-8092,flask_2_0_3,full,1000000,1712086454574,1712087176000,721426,2.6335e+06,3673213,3799487,4244862,939119
MXULOMJ8,ms-test-20240402_214638-0,threads_4,localhost-8092,flask_2_0_3,local,1000000,1712087199367,1712087210827,11460,37156,42786,65815,94208,67683.6
MXULOMJ8,ms-test-20240402_214713-0,threads_4,localhost-8080,tomcat_jersey_3_1_0,full,1000000,1712087234523,1712087279198,44675,166986,187310,202070,270719,69349.9
MXULOMJ8,ms-test-20240402_214821-0,threads_4,localhost-8080,tomcat_jersey_3_1_0,local,1000000,1712087302720,1712087315136,12416,41259.7,45797,73038,86084,71111.2
MXULOMJ8,ms-test-20240402_214857-0,threads_4,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712087338885,1712087378878,39993,148185,166588,179664,245324,70699.6
MXULOMJ8,ms-test-20240402_215001-0,threads_4,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712087402080,1712087413497,11417,37945.3,41410,67923,83004,76828.5
MXULOMJ8,ms-test-20240402_215035-0,threads_8,localhost-8090,spring3_6_1_5,full,1000000,1712087436360,1712087455927,19567,141681,161482,180270,257133,95094
MXULOMJ8,ms-test-20240402_215118-0,threads_8,localhost-8090,spring3_6_1_5,local,1000000,1712087479675,1712087487470,7795,43985.3,50672,75418,131948,114454
MXULOMJ8,ms-test-20240402_215150-0,threads_8,localhost-8091,jersey3,full,1000000,1712087511140,1712087535960,24820,184176,216427,231420,314604,116984
MXULOMJ8,ms-test-20240402_215238-0,threads_8,localhost-8091,jersey3,local,1000000,1712087559453,1712087565675,6222,42058.7,45353,72657,118111,88180.8
MXULOMJ8,ms-test-20240402_215307-0,threads_8,localhost-8092,flask_2_0_3,full,1000000,1712087588640,1712088291869,703229,5.35009e+06,7175718,7787152,8645942,1.3386e+06
