MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
20201;Cosmote;Grecia;zona_roaming_1
20205;Vodafone Panafon;Grecia;zona_roaming_1
20209;Qtelecom;Grecia;zona_roaming_1
20210;Stet Hellas (TIM);Grecia;zona_roaming_1
20402;Tele2;Holanda;zona_roaming_1
20404;Vodafone;Holanda;zona_roaming_1
20408;KPN;Holanda;zona_roaming_1
20412;Telfort / O2;Holanda;zona_roaming_1
20416;T-Mobile;Holanda;zona_roaming_1
20420;T-Mobile;Holanda;zona_roaming_1
20601;Belgacom;Belgica;zona_roaming_1
20605;Telenet;Belgica;zona_roaming_1
20608;NETHYS;Belgica;zona_roaming_1
20610;Mobistar;Belgica;zona_roaming_1
20620;Base;Belgica;zona_roaming_1
20801;Orange;Francia;zona_roaming_1
20805;Globalstar - SATeLITE;Francia;zona_roaming_1
20809;SFR;Francia;zona_roaming_1
20810;SFR;Francia;zona_roaming_1
20815;FreeMobile;Francia;zona_roaming_1
20820;BouyguesTelecom;Francia;zona_roaming_1
20825;LYCAMOBILE;Francia;zona_roaming_1
21201;Monaco Telecom;Monaco;zona_roaming_3
21210;Monaco Telecom;Monaco;zona_roaming_3
21303;STA;Andorra;zona_roaming_2
21401;VODAFONE;ESPA¥A;zona_roaming_1
21402;FIBRACAT;ESPA¥A;zona_roaming_1
21403;ORANGE;ESPA¥A;zona_roaming_1
21404;YOIGO;ESPA¥A;zona_roaming_1
21405;MOVISTAR;ESPA¥A;zona_roaming_1
21406;VODAFONE;ESPA¥A;zona_roaming_1
21407;MOVISTAR;ESPA¥A;zona_roaming_1
21408;EUSKALTEL;ESPA¥A;zona_roaming_1
21409;ORANGE;ESPA¥A;zona_roaming_1
21410;OPERA;ESPA¿A;zona_roaming_1
21415;BT;ESPA¥A;zona_roaming_1
21416;TELECABLE;ESPA¥A;zona_roaming_1
21417;R;ESPA¥A;zona_roaming_1
21418;ONO;ESPA¥A;zona_roaming_1
21419;SIMYO;ESPA¥A;zona_roaming_1
21421;JAZZTEL;ESPA¥A;zona_roaming_1
21422;DIGIMOBIL;ESPA¥A;zona_roaming_1
21423;BARABLU;ESPA¥A;zona_roaming_1
21425;LYCA;ESPA¥A;zona_roaming_1
21427;TRUEPHONE;ESPA¥A;zona_roaming_1
21601;Telenor;Hungria;zona_roaming_1
21630;T-Mobile;Hungria;zona_roaming_1
21670;Vodafone;Hungria;zona_roaming_1
21803;HT Mobile (Eronet);Bosnia&Herzegovina;zona_roaming_2
21805;m:tel;Bosnia&Herzegovina;zona_roaming_2
21890;BH (PTT BIM);Bosnia&Herzegovina;zona_roaming_2
21901;T-Mobile;Croacia;zona_roaming_1
21902;Tele2;Croacia;zona_roaming_1
21910;VIP-NET;Croacia;zona_roaming_1
22001;Telenor;Serbia;zona_roaming_2
22002;Telenor;Montenegro;zona_roaming_2
22003;Telekom Srbija;Serbia;zona_roaming_2
22004;T-Mobile;Montenegro;zona_roaming_2
22005;VIP Mobile;Serbia;zona_roaming_2
22201;TIM;Italia;zona_roaming_1
22210;Vodafone Omnitel;Italia;zona_roaming_1
22236;DIGI;Italia;zona_roaming_1
22250;FREE MOBILE;Italia;zona_roaming_1
22256;MASS RESPONSE;Italia;zona_roaming_1
22288;Wind;Italia;zona_roaming_1
22299;H3G;Italia;zona_roaming_1
22601;Vodafone;Rumania;zona_roaming_1
22603;Cosmote;Rumania;zona_roaming_1
22605;Digimobil;Rumania;zona_roaming_1
22610;Orange;Rumania;zona_roaming_1
22801;Swisscom;Suiza;zona_roaming_2
22802;Sunrise;Suiza;zona_roaming_2
22803;Orange;Suiza;zona_roaming_2
22853;UPC CABLECOM;Suiza;zona_roaming_2
23001;T-Mobile;Chequia;zona_roaming_1
23002;Telefonica O2;Chequia;zona_roaming_1
23003;Vodafone;Chequia;zona_roaming_1
23101;Orange;Eslovaquia;zona_roaming_1
23102;Slovak Telekom;Eslovaquia;zona_roaming_1
23106;Telefonica (O2);Eslovaquia;zona_roaming_1
23201;Mobilkom;Austria;zona_roaming_1
23203;T-Mobile;Austria;zona_roaming_1
23205;Orange;Austria;zona_roaming_1
23207;T-Mobile;Austria;zona_roaming_1
23210;H3G;Austria;zona_roaming_1
23211;MOBILCOM;Austria;zona_roaming_1
23212;Orange;Austria;zona_roaming_1
23213;T-MOBILE;Austria;zona_roaming_1
23217;MASS RESPONSE;Austria;zona_roaming_1
23403;Airtel Jersey;Isla de Jersey;zona_roaming_1
23410;Telefonica (O2) (BTCellnet);Reino Unido;zona_roaming_1
23415;Vodafone;Reino Unido;zona_roaming_1
23420;H3G;Reino Unido;zona_roaming_1
23430;EE;Reino Unido;zona_roaming_1
23433;Orange;Reino Unido;zona_roaming_1
23450;Jersey Telecom;Isla de Jersey;zona_roaming_1
23455;C&W;Guernsey Island;zona_roaming_1
23457;SKY;Reino Unido;zona_roaming_1
23458;MANX;Isla de Man/UK;zona_roaming_1
23801;Teledanmark/TDC;Dinamarca;zona_roaming_1
23802;Telenor;Dinamarca;zona_roaming_1
23806;Hi3G;Dinamarca;zona_roaming_1
23820;Telia;Dinamarca;zona_roaming_1
24001;Telia Sonera;Suecia;zona_roaming_1
24002;Hi3G;Suecia;zona_roaming_1
24004;Hi3G;Suecia;zona_roaming_1
24007;Tele2;Suecia;zona_roaming_1
24008;Telenor;Suecia;zona_roaming_1
24010;Tele2;Suecia;zona_roaming_1
24014;TDC;Suecia;zona_roaming_1
24042;Telenor;Suecia;zona_roaming_1
24201;Telenor;Noruega;zona_roaming_1
24202;NetCom GSM;Noruega;zona_roaming_1
24205;Network Norway;Noruega;zona_roaming_1
24208;TDC;Noruega;zona_roaming_1
24214;ICE;Noruega;zona_roaming_1
24403;DNA;Finlandia;zona_roaming_1
24405;Elisa;Finlandia;zona_roaming_1
24412;DNA;Finlandia;zona_roaming_1
24414;Alands;Finlandia;zona_roaming_1
24421;Elisa;Finlandia;zona_roaming_1
24491;Telia Sonera;Finlandia;zona_roaming_1
24601;Telia Sonera;Lituania;zona_roaming_1
24602;Bite;Lituania;zona_roaming_1
24603;Tele2;Lituania;zona_roaming_1
24701;LMT;Letonia/latvia;zona_roaming_1
24702;Tele2;Letonia/latvia;zona_roaming_1
24705;Bite;Letonia/latvia;zona_roaming_1
24801;EMT (TeliaSonera);Estonia;zona_roaming_1
24802;ELISA (Radiolinja);Estonia;zona_roaming_1
24803;Tele2;Estonia;zona_roaming_1
25001;MTS;Rusia;zona_roaming_3
25002;Megafon;Rusia;zona_roaming_3
25003;NCC;Rusia;zona_roaming_3
25005;ETK YeniseiTelekom;RUSIA;zona_roaming_3
25012;BWC BaykalWestCom;Rusia;zona_roaming_3
25017;Uraltel;Rusia;zona_roaming_3
25020;Tele2;Rusia;zona_roaming_3
25027;Smart Kazan;Rusia;zona_roaming_3
25035;Ekaterimburg Motiv;Rusia;zona_roaming_3
